ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
TREX,"Trex Company, Inc.",2022-02-28T16:05:00.000Z,TAS,0.53,0.6,13.42,EST,-18000000,EQUITY
HSKA,Heska Corporation,2022-02-28T08:00:00.000Z,TAS,0.01,-0.05,-516.67,EST,-18000000,EQUITY
PRIM,Primoris Services Corporation,2022-02-28T17:19:00.000Z,TAS,0.56,0.54,-3.4,EST,-18000000,EQUITY
SHEN,Shenandoah Telecommunications Company,2022-02-28T16:38:00.000Z,TAS,0.04,-0.06,-239.53,EST,-18000000,EQUITY
SCOR,"comScore, Inc.",2022-02-28T16:09:00.000Z,TAS,-0.12,-0.01,91.67,EST,-18000000,EQUITY
SAVA,"Cassava Sciences, Inc.",2022-02-28T16:03:00.000Z,TAS,-0.33,-0.35,-4.48,EST,-18000000,EQUITY
CWEN-A,"Clearway Energy, Inc.",2022-02-28T06:00:00.000Z,TAS,0.13,-0.07,-153.03,EST,-18000000,EQUITY
PGUUF,"Prosegur Cash, S.A.",2022-02-28T07:20:00.000Z,TAS,0.01,-0.01,-200.0,EST,-18000000,EQUITY
VLNS,The Valens Company Inc.,2022-02-28T17:26:00.000Z,TAS,,-0.34,,EST,-18000000,EQUITY
VRS,Verso Corporation,2022-02-28T06:30:00.000Z,TAS,0.67,0.45,-32.63,EST,-18000000,EQUITY
WHD,"Cactus, Inc.",2022-02-28T06:30:00.000Z,TAS,0.2,0.25,22.55,EST,-18000000,EQUITY
CLDX,"Celldex Therapeutics, Inc.",2022-02-28T16:01:00.000Z,TAS,-0.42,-0.43,-3.12,EST,-18000000,EQUITY
IIN,IntriCon Corporation,2022-02-28T08:40:00.000Z,TAS,0.01,0.0,-100.0,EST,-18000000,EQUITY
GOEV,Canoo Inc.,2022-02-28T16:42:00.000Z,TAS,-0.51,-0.6,-17.65,EST,-18000000,EQUITY
NMFC,New Mountain Finance Corporation,2022-02-28T17:19:00.000Z,TAS,0.3,0.23,-24.09,EST,-18000000,EQUITY
CNSNF,Constantine Metal Resources Ltd,2022-02-28T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
DNMR,"Danimer Scientific, Inc.",2022-02-28T16:08:00.000Z,TAS,-0.3,,,EST,-18000000,EQUITY
DAR,Darling Ingredients Inc.,2022-02-28T16:40:00.000Z,TAS,0.87,0.94,8.55,EST,-18000000,EQUITY
XRAY,DENTSPLY SIRONA Inc.,2022-02-28T06:00:00.000Z,TAS,0.79,0.76,-3.43,EST,-18000000,EQUITY
SQIDF,SQI Diagnostics Inc,2022-02-28T19:01:16.000Z,TAS,,,,EST,-18000000,EQUITY
DGNOF,DIAGNOS Inc.,2022-02-28T17:00:00.000Z,TAS,-0.01,,,EST,-18000000,EQUITY
DNLI,Denali Therapeutics Inc.,2022-02-28T16:01:00.000Z,TAS,-0.41,-0.62,-49.76,EST,-18000000,EQUITY
DEA,"Easterly Government Properties, Inc.",2022-02-28T06:30:00.000Z,TAS,0.1,0.08,-20.0,EST,-18000000,EQUITY
EVA,Enviva Inc.,2022-02-28T17:58:00.000Z,TAS,0.26,-1.46,-665.89,EST,-18000000,EQUITY
EBRPF,"Ebro Foods, S.A.",2022-02-28T14:41:00.000Z,TAS,,,,EST,-18000000,EQUITY
FET,"Forum Energy Technologies, Inc.",2022-02-28T17:08:00.000Z,TAS,-0.8,-3.46,-332.5,EST,-18000000,EQUITY
MEG,"Montrose Environmental Group, Inc.",2022-02-28T16:30:00.000Z,TAS,-0.06,-1.56,-2589.66,EST,-18000000,EQUITY
GATGF,Gatling Exploration Inc,2022-02-28T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY
ENDP,Endo International plc,2022-02-28T16:39:00.000Z,TAS,0.67,0.84,25.37,EST,-18000000,EQUITY
PDCE,"PDC Energy, Inc.",2022-02-28T07:00:00.000Z,TAS,2.55,,,EST,-18000000,EQUITY
NFE,New Fortress Energy Inc.,2022-02-28T21:25:00.000Z,TAS,0.91,0.72,-20.53,EST,-18000000,EQUITY
FENC,Fennec Pharmaceuticals Inc.,2022-02-28T06:00:00.000Z,TAS,0.75,-0.18,-124.06,EST,-18000000,EQUITY
FRPT,"Freshpet, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.16,-0.19,-17.28,EST,-18000000,EQUITY
FGEN,"FibroGen, Inc.",2022-02-28T16:01:00.000Z,TAS,-0.66,-1.45,-118.7,EST,-18000000,EQUITY
FATE,"Fate Therapeutics, Inc.",2022-02-28T16:01:00.000Z,TAS,-0.67,-0.72,-7.95,EST,-18000000,EQUITY
FRTA,"Forterra, Inc.",2022-02-28T16:30:00.000Z,TAS,0.23,0.37,64.44,EST,-18000000,EQUITY
JRVR,"James River Group Holdings, Ltd.",2022-02-28T16:15:00.000Z,TAS,0.12,-1.81,-1608.33,EST,-18000000,EQUITY
RADI,"Radius Global Infrastructure, Inc.",2022-02-28T16:10:00.000Z,TAS,-0.3,-0.14,53.8,EST,-18000000,EQUITY
LCID,"Lucid Group, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.35,-0.21,40.0,EST,-18000000,EQUITY
GMRE,Global Medical REIT Inc.,2022-02-28T16:05:00.000Z,TAS,0.07,0.06,-11.76,EST,-18000000,EQUITY
GDRX,"GoodRx Holdings, Inc.",2022-02-28T16:24:00.000Z,TAS,0.1,0.09,-9.09,EST,-18000000,EQUITY
GIFLF,"Grifols, S.A.",2022-02-28T07:42:00.000Z,TAS,0.28,,,EST,-18000000,EQUITY
GRPN,"Groupon, Inc.",2022-02-28T16:40:00.000Z,TAS,0.19,0.18,-4.76,EST,-18000000,EQUITY
NVEE,"NV5 Global, Inc.",2022-02-28T16:04:00.000Z,TAS,1.04,1.61,54.96,EST,-18000000,EQUITY
GRUSF,Grown Rogue International Inc.,2022-02-28T07:00:00.000Z,TAS,,,,EST,-18000000,EQUITY
PRAA,"PRA Group, Inc.",2022-02-28T16:05:00.000Z,TAS,0.66,0.79,19.34,EST,-18000000,EQUITY
PNTG,"The Pennant Group, Inc.",2022-02-28T16:10:00.000Z,TAS,0.15,0.07,-52.7,EST,-18000000,EQUITY
GAIA,"Gaia, Inc.",2022-02-28T16:05:00.000Z,TAS,0.03,0.1,270.37,EST,-18000000,EQUITY
MDXG,"MiMedx Group, Inc.",2022-02-28T16:06:00.000Z,TAS,-0.03,0.01,130.3,EST,-18000000,EQUITY
GLP,Global Partners LP,2022-02-28T08:00:00.000Z,TAS,0.23,0.44,91.3,EST,-18000000,EQUITY
SNWV,"SANUWAVE Health, Inc.",2022-02-28T17:30:00.000Z,TAS,,,,EST,-18000000,EQUITY
HNGR,"Hanger, Inc.",2022-02-28T16:05:00.000Z,TAS,0.45,0.4,-10.11,EST,-18000000,EQUITY
SEMR,"SEMrush Holdings, Inc.",2022-02-28T18:45:00.000Z,TAS,-0.04,-0.02,52.38,EST,-18000000,EQUITY
HPQ,HP Inc.,2022-02-28T16:15:00.000Z,TAS,1.02,1.1,7.53,EST,-18000000,EQUITY
HSII,"Heidrick & Struggles International, Inc.",2022-02-28T17:37:00.000Z,TAS,0.79,1.02,29.11,EST,-18000000,EQUITY
HY,"Hyster-Yale Materials Handling, Inc.",2022-02-28T18:10:00.000Z,TAS,-1.1,-6.14,-458.18,EST,-18000000,EQUITY
HRTX,"Heron Therapeutics, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.58,-0.54,6.25,EST,-18000000,EQUITY
OSH,"Oak Street Health, Inc.",2022-02-28T16:10:00.000Z,TAS,-0.58,-0.62,-6.71,EST,-18000000,EQUITY
SAIL,"SailPoint Technologies Holdings, Inc.",2022-02-28T16:15:00.000Z,TAS,-0.06,0.09,240.63,EST,-18000000,EQUITY
HGEN,"Humanigen, Inc.",2022-02-28T13:05:00.000Z,TAS,-0.65,-0.53,17.96,EST,-18000000,EQUITY
NLSN,Nielsen Holdings plc,2022-02-28T06:30:00.000Z,TAS,0.36,0.46,29.58,EST,-18000000,EQUITY
SMIZF,"Meliá Hotels International, S.A.",2022-02-28T14:53:00.000Z,TAS,-0.22,-0.12,45.45,EST,-18000000,EQUITY
HLIO,"Helios Technologies, Inc.",2022-02-28T16:18:00.000Z,TAS,0.83,1.01,21.69,EST,-18000000,EQUITY
EYE,"National Vision Holdings, Inc.",2022-02-28T06:00:00.000Z,TAS,-0.02,0.13,822.22,EST,-18000000,EQUITY
SBHGF,"SBI Holdings, Inc.",2022-02-28T05:00:00.000Z,TAS,98.27,1197.42,1118.55,EST,-18000000,EQUITY
QSI,Quantum-Si incorporated,2022-02-28T16:05:00.000Z,TAS,-0.17,-0.21,-23.53,EST,-18000000,EQUITY
MRTX,"Mirati Therapeutics, Inc.",2022-02-28T16:01:00.000Z,TAS,-3.0,-3.72,-23.83,EST,-18000000,EQUITY
ITRI,"Itron, Inc.",2022-02-28T08:30:00.000Z,TAS,0.19,0.75,292.67,EST,-18000000,EQUITY
LAZR,"Luminar Technologies, Inc.",2022-02-28T16:00:00.000Z,TAS,-0.11,-0.12,-12.15,EST,-18000000,EQUITY
RVMD,"Revolution Medicines, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.64,-0.71,-11.11,EST,-18000000,EQUITY
SGRY,"Surgery Partners, Inc.",2022-02-28T16:10:00.000Z,TAS,0.19,0.23,18.56,EST,-18000000,EQUITY
OTIC,"Otonomy, Inc.",2022-02-28T16:27:00.000Z,TAS,-0.18,-0.2,-9.29,EST,-18000000,EQUITY
PLRX,"Pliant Therapeutics, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.76,-0.68,10.39,EST,-18000000,EQUITY
RVNC,"Revance Therapeutics, Inc.",2022-02-28T16:05:00.000Z,TAS,-1.0,-0.93,6.63,EST,-18000000,EQUITY
TPTX,"Turning Point Therapeutics, Inc.",2022-02-28T16:31:00.000Z,TAS,-1.39,-1.58,-13.59,EST,-18000000,EQUITY
USER,"UserTesting, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.18,-0.12,34.43,EST,-18000000,EQUITY
VLDR,"Velodyne Lidar, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.17,-0.16,8.05,EST,-18000000,EQUITY
VRM,"Vroom, Inc.",2022-02-28T16:15:00.000Z,TAS,-0.77,-0.94,-22.56,EST,-18000000,EQUITY
WBT,"Welbilt, Inc.",2022-02-28T06:00:00.000Z,TAS,0.19,0.18,-4.26,EST,-18000000,EQUITY
OLMA,"Olema Pharmaceuticals, Inc.",2022-02-28T16:30:00.000Z,TAS,-0.49,-0.54,-9.09,EST,-18000000,EQUITY
ONTF,"ON24, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.09,-0.03,66.67,EST,-18000000,EQUITY
PCVX,"Vaxcyte, Inc.",2022-02-28T17:22:00.000Z,TAS,-0.56,-0.55,1.79,EST,-18000000,EQUITY
NRDY,"Nerdy, Inc.",2022-02-28T16:01:00.000Z,TAS,-0.09,-0.09,-1.12,EST,-18000000,EQUITY
SMLR,"Semler Scientific, Inc.",2022-02-28T16:01:00.000Z,TAS,0.41,,,EST,-18000000,EQUITY
VCYT,"Veracyte, Inc.",2022-02-28T16:38:00.000Z,TAS,-0.16,-0.15,6.83,EST,-18000000,EQUITY
JLL,Jones Lang LaSalle Incorporated,2022-02-28T07:30:00.000Z,TAS,6.81,8.66,27.13,EST,-18000000,EQUITY
TASK,"TaskUs, Inc.",2022-02-28T16:04:00.000Z,TAS,0.34,0.34,1.49,EST,-18000000,EQUITY
TTI,"TETRA Technologies, Inc.",2022-02-28T16:55:00.000Z,TAS,0.0,0.0,,EST,-18000000,EQUITY
SEER,"Seer, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.32,-0.32,1.54,EST,-18000000,EQUITY
OKE,"ONEOK, Inc.",2022-02-28T16:15:00.000Z,TAS,0.89,0.85,-4.06,EST,-18000000,EQUITY
PUBM,"PubMatic, Inc.",2022-02-28T16:05:00.000Z,TAS,0.27,0.42,53.85,EST,-18000000,EQUITY
PGNY,Progyny Inc,2022-02-28T16:05:00.000Z,TAS,0.04,0.15,275.0,EST,-18000000,EQUITY
PSHG,Performance Shipping Inc,2022-02-28T10:59:00.000Z,TNS,-0.39,-0.44,-12.82,EST,-18000000,EQUITY
NNI,"Nelnet, Inc.",2022-02-28T16:15:00.000Z,TAS,2.23,2.5,12.11,EST,-18000000,EQUITY
PTGX,"Protagonist Therapeutics, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.78,-0.77,1.66,EST,-18000000,EQUITY
MRSN,"Mersana Therapeutics, Inc.",2022-02-28T06:00:00.000Z,TAS,-0.67,-0.68,-1.64,EST,-18000000,EQUITY
LXRX,"Lexicon Pharmaceuticals, Inc.",2022-02-28T06:01:00.000Z,TAS,-0.18,-0.17,7.1,EST,-18000000,EQUITY
ZGNX,"Zogenix, Inc.",2022-02-28T08:10:00.000Z,TAS,-0.88,-0.98,-10.86,EST,-18000000,EQUITY
SRI,"Stoneridge, Inc.",2022-02-28T17:04:00.000Z,TAS,-0.24,-0.24,-1.27,EST,-18000000,EQUITY
SUPN,Supernus Pharmaceuticals Inc,2022-02-28T16:05:00.000Z,TAS,0.24,,,EST,-18000000,EQUITY
SDC,"SmileDirectClub, Inc.",2022-02-28T16:22:00.000Z,TAS,-0.27,-0.25,6.72,EST,-18000000,EQUITY
TGNA,TEGNA Inc.,2022-02-28T07:00:00.000Z,TAS,0.55,0.57,3.64,EST,-18000000,EQUITY
WDAY,"Workday, Inc.",2022-02-28T16:30:00.000Z,TAS,0.71,0.78,10.33,EST,-18000000,EQUITY
VTRS,Viatris Inc.,2022-02-28T06:00:00.000Z,TAS,0.83,0.8,-3.38,EST,-18000000,EQUITY
XPEL,"XPEL, Inc.",2022-02-28T07:36:00.000Z,TAS,0.3,0.22,-27.63,EST,-18000000,EQUITY
MBI,MBIA Inc.,2022-02-28T16:15:00.000Z,TAS,-0.44,-2.13,-378.65,EST,-18000000,EQUITY
MILE,"Metromile, Inc.",2022-02-28T17:13:00.000Z,TAS,-0.11,-0.33,-186.96,EST,-18000000,EQUITY
INBX,"Inhibrx, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.57,-0.55,3.85,EST,-18000000,EQUITY
IQ,"iQIYI, Inc.",2022-03-01T03:30:00.000Z,TAS,-2.0,-2.02,-1.15,EST,-18000000,EQUITY
NVAX,"Novavax, Inc.",2022-02-28T16:05:00.000Z,TAS,-1.8,-11.18,-520.42,EST,-18000000,EQUITY
PLL,Piedmont Lithium Inc.,2022-02-28T17:52:00.000Z,TAS,-0.35,-0.67,-89.8,EST,-18000000,EQUITY
PRAX,"Praxis Precision Medicines, Inc.",2022-02-28T06:00:00.000Z,TAS,-1.08,-1.3,-20.15,EST,-18000000,EQUITY
ICAD,"iCAD, Inc.",2022-02-28T16:05:00.000Z,TAS,-0.12,-0.17,-42.86,EST,-18000000,EQUITY
RETA,"Reata Pharmaceuticals, Inc.",2022-02-28T06:45:00.000Z,TAS,-2.31,-2.35,-1.82,EST,-18000000,EQUITY
OCUL,"Ocular Therapeutix, Inc.",2022-02-28T16:01:00.000Z,TAS,-0.23,-0.05,78.72,EST,-18000000,EQUITY
RDDTF,Radient Technologies Inc,2022-02-28T18:30:09.000Z,TAS,,,,EST,-18000000,EQUITY
TAOIF,TAG Oil Ltd,2022-02-28T09:00:09.000Z,TAS,,,,EST,-18000000,EQUITY
NKRSF,Niko Resources Ltd.,2022-02-28T16:20:00.000Z,TAS,,,,EST,-18000000,EQUITY
MRUS,Merus N.V.,2022-02-28T16:32:00.000Z,TAS,-0.62,-0.34,45.51,EST,-18000000,EQUITY
MNSAF,Mineros S.A.,2022-02-28T08:09:00.000Z,TAS,,,,EST,-18000000,EQUITY
NKTR,Nektar Therapeutics,2022-02-28T16:15:00.000Z,TAS,-0.81,-0.79,2.35,EST,-18000000,EQUITY
TNISF,"Técnicas Reunidas, S.A.",2022-02-28T19:29:00.000Z,TAS,,,,EST,-18000000,EQUITY
VDRFF,"Vidrala, S.A.",2022-02-28T07:24:00.000Z,TAS,,,,EST,-18000000,EQUITY
